RK,PICK,YEAR,,Player,TEAM,CONF,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,DUNKS,,CLOSE 2,,FAR 2,,FT,,2P,,3P/100,3P,,AST,REB,PTS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23,Jr,,Kris Murray,Iowa,B10,75.6,5.6,3.6,8,7.9,0.1,118.5,99.5,25.6,54.8,57.2,8.5,17.8,11.7,9.5,1.3,3.4,1.7,25.9,2.4,17-22,126-188,0.67,25-71,0.352,86-118,0.729,151-259,0.583,11.2,66-197,0.335,,1.2,5,12.1,
25,24,Jr,,Olivier-Maxence Prosper,Marquette,BE,71.6,3.3,3.1,2.4,2.5,-0.1,115.5,98.3,19.8,57.8,61.7,7.1,12.3,4,14,0.5,0.5,1.8,51.5,3.2,38-40,97-141,0.688,14-37,0.378,111-151,0.735,111-178,0.624,6.4,39-115,0.339,,0.7,3.5,8,
26,25,Sr,,Marcus Sasser,Houston,Amer,74.9,5.1,4.4,11,7.4,3.6,123.5,88.4,24.9,54.9,59.8,1.4,8.9,19.6,12.9,1.9,0.7,3.2,34.7,2,6-Jun,54-84,0.643,40-100,0.4,128-151,0.848,95-185,0.514,13.9,96-250,0.384,,2.4,2.7,13.6,
27,26,Sr,,Ben Sheppard,Belmont,MVC,85.4,3.8,2.9,3.7,4,-0.3,110.1,104.9,26.8,56,58,2.3,15.4,16.7,14.2,1.3,0.5,2.3,27.7,2.4,7-Jun,90-148,0.608,42-109,0.385,86-124,0.694,132-257,0.514,10.3,79-190,0.416,,2.9,5.2,18.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,,Nick Smith Jr.,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,12.5,
30,28,Fr,,Brice Sensabaugh,Ohio St.,B10,57.4,4.1,2.7,7.6,7.3,0.3,112,97.8,32.1,55.5,58.8,6.2,18.9,10.9,15.7,0.6,1.7,1.3,24.4,4,10-Sep,52-90,0.578,85-172,0.494,83-100,0.83,137-261,0.525,11.1,60-148,0.405,,1.2,5.4,16.3,
31,29,Jr,,Julian Strawther,Gonzaga,WCC,78.5,3.8,3.4,5,4.5,0.5,117.4,97.7,20.6,56.6,60.2,3,19.6,6.7,12.9,0.9,1.5,1.4,32.5,2.6,7-Jul,59-95,0.621,48-109,0.44,103-130,0.792,108-205,0.527,9.6,79-195,0.405,,0.9,4.6,10.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
